number;accumulated errors;
7388;0,13346;
7389;0,133577;
7394;0,133622;
7398;0,133685;
7405;0,133693;
7406;0,13381;
7413;0,133819;
7416;0,1339;
7419;0,13398;
7422;0,134061;
7425;0,134141;
7428;0,134222;
7435;0,13423;
7436;0,134346;
7438;0,134445;
7439;0,134561;
7455;0,134406;
7458;0,134486;
7461;0,134566;
7464;0,134646;
7467;0,134726;
7470;0,134806;
7473;0,134886;
7476;0,134965;
7486;0,134919;
7487;0,135034;
7495;0,135023;
7497;0,135121;
7501;0,135182;
7503;0,135279;
7510;0,135286;
7515;0,135329;
7517;0,135426;
7518;0,135541;
7520;0,135638;
7525;0,135681;
7541;0,135526;
7550;0,135497;
7557;0,135504;
7559;0,1356;
7566;0,135607;
7569;0,135685;
7572;0,135763;
7583;0,135698;
7584;0,135812;
7592;0,135801;
7593;0,135915;
7599;0,135939;
7600;0,136053;
7608;0,136041;
7609;0,136155;
7615;0,136179;
7624;0,136149;
7625;0,136262;
7632;0,136268;
7634;0,136364;
7635;0,136477;
7639;0,136536;
7643;0,136596;
7652;0,136566;
7659;0,136571;
7662;0,136648;
7667;0,13669;
7668;0,136802;
7676;0,13679;
7678;0,136885;
7686;0,136872;
7687;0,136985;
7692;0,137025;
7695;0,137102;
7700;0,137143;
7701;0,137255;
7707;0,137278;
7718;0,137212;
7729;0,137146;
7733;0,137204;
7740;0,137209;
7741;0,137321;
7743;0,137414;
7744;0,137526;
7751;0,137531;
7755;0,137589;
7763;0,137576;
7764;0,137687;
7765;0,137798;
7771;0,13782;
7776;0,13786;
7781;0,1379;
7787;0,137922;
7788;0,138033;
7789;0,138144;
7800;0,138077;
7805;0,138117;
7806;0,138227;
7808;0,13832;
7809;0,13843;
7814;0,138469;
7817;0,138544;
7821;0,138601;
7833;0,138517;
7840;0,13852;
7846;0,138542;
7848;0,138634;
7850;0,138726;
7851;0,138836;
7859;0,138822;
7868;0,13879;
7869;0,138899;
7871;0,138991;
7872;0,139101;
7893;0,138857;
7897;0,138914;
7902;0,138952;
7906;0,139008;
7909;0,139082;
7917;0,139068;
7919;0,139159;
7925;0,13918;
7926;0,139288;
7931;0,139327;
7937;0,139347;
7942;0,139386;
7947;0,139424;
7948;0,139532;
7950;0,139623;
7952;0,139713;
7954;0,139804;
7955;0,139912;
7968;0,139809;
7971;0,139882;
7975;0,139937;
7986;0,13987;
7990;0,139925;
