number;accumulated errors;
7478;0,124365;
7484;0,124399;
7487;0,124482;
7491;0,124549;
7492;0,124666;
7497;0,124717;
7498;0,124833;
7501;0,124917;
7508;0,124933;
7509;0,12505;
7515;0,125083;
7516;0,1252;
7521;0,125249;
7526;0,125299;
7528;0,125399;
7532;0,125465;
7537;0,125514;
7538;0,12563;
7539;0,125746;
7540;0,125862;
7543;0,125945;
7546;0,126027;
7547;0,126143;
7561;0,126042;
7566;0,12609;
7573;0,126106;
7575;0,126205;
7576;0,12632;
7579;0,126402;
7581;0,1265;
7584;0,126582;
7590;0,126614;
7591;0,126729;
7592;0,126844;
7595;0,126926;
7596;0,127041;
7597;0,127155;
7610;0,12707;
7613;0,127151;
7622;0,127132;
7627;0,12718;
7639;0,127111;
7642;0,127192;
7646;0,127256;
7647;0,12737;
7648;0,127484;
7653;0,127532;
7654;0,127646;
7663;0,127626;
7664;0,12774;
7667;0,127821;
7669;0,127918;
7671;0,128015;
7675;0,128078;
7676;0,128192;
7681;0,128239;
7687;0,128269;
7694;0,128282;
7695;0,128395;
7699;0,128458;
7701;0,128555;
7705;0,128618;
7706;0,128731;
7709;0,12881;
7713;0,128873;
7714;0,128986;
7724;0,128949;
7725;0,129061;
7729;0,129124;
7731;0,12922;
7740;0,129199;
7746;0,129228;
7747;0,12934;
7749;0,129436;
7752;0,129515;
7753;0,129627;
7757;0,129689;
7770;0,129601;
7775;0,129646;
7780;0,129692;
7791;0,129637;
7793;0,129732;
7796;0,12981;
7798;0,129905;
7810;0,129834;
7814;0,129895;
7820;0,129923;
7831;0,129868;
7837;0,129897;
7838;0,130008;
7845;0,130019;
7850;0,130064;
7854;0,130125;
7856;0,130219;
7866;0,130181;
7871;0,130225;
7874;0,130302;
7876;0,130396;
7881;0,13044;
7890;0,130418;
7898;0,130413;
7906;0,130407;
7907;0,130517;
7909;0,130611;
7914;0,130655;
7917;0,130731;
7921;0,130792;
7929;0,130786;
7933;0,130846;
7941;0,13084;
7942;0,130949;
7947;0,130993;
7953;0,13102;
7956;0,131096;
7958;0,131189;
7962;0,131248;
7968;0,131275;
7970;0,131368;
7972;0,13146;
7974;0,131553;
7977;0,131628;
7978;0,131737;
7979;0,131846;
7984;0,131889;
7986;0,131981;
7988;0,132073;
7989;0,132182;
7990;0,13229;
7991;0,132399;
7996;0,132441;
8001;0,132483;
8007;0,132509;
8011;0,132568;
8016;0,13261;
8020;0,132668;
8021;0,132776;
8024;0,132851;
8035;0,132794;
8040;0,132836;
8041;0,132944;
8043;0,133035;
8044;0,133143;
8046;0,133234;
8048;0,133325;
8051;0,1334;
8057;0,133424;
8061;0,133482;
8063;0,133573;
8068;0,133614;
8074;0,133639;
8092;0,133465;
8093;0,133572;
8095;0,133663;
8096;0,13377;
8104;0,133761;
8107;0,133835;
8111;0,133892;
8114;0,133966;
8120;0,13399;
8121;0,134097;
8126;0,134137;
8130;0,134194;
8135;0,134235;
8137;0,134325;
8138;0,134431;
8143;0,134471;
8144;0,134578;
8152;0,134568;
8153;0,134674;
8154;0,13478;
8158;0,134837;
8165;0,134844;
8179;0,134735;
8180;0,134841;
8187;0,134848;
8474;0,130399;
8553;0,129311;
8579;0,129036;
8757;0,126527;
8795;0,126094;
8813;0,12595;
8839;0,125693;
8860;0,125508;
8976;0,123997;
8997;0,123819;
9015;0,123683;
9018;0,123752;
9104;0,122693;
9174;0,121866;
9208;0,121525;
9231;0,12133;
9279;0,12081;
9313;0,120477;
9330;0,120364;
9377;0,119868;
9383;0,119898;
9385;0,119979;
9386;0,120072;
9390;0,120128;
9395;0,12017;
9401;0,1202;
9402;0,120294;
9406;0,120349;
9423;0,120238;
9429;0,120267;
9430;0,120361;
9439;0,120352;
9443;0,120407;
9453;0,120385;
9460;0,120402;
9464;0,120456;
9503;0,120067;
9506;0,120135;
9510;0,120189;
9522;0,120143;
9546;0,119946;
9560;0,119874;
9566;0,119904;
9597;0,119621;
9622;0,119414;
9644;0,119245;
9663;0,119114;
9665;0,119193;
9668;0,119259;
9677;0,119252;
9702;0,119048;
9714;0,119004;
9723;0,118996;
9726;0,119062;
9742;0,118969;
9745;0,119035;
9756;0,119004;
9779;0,118826;
9785;0,118855;
9803;0,118739;
9811;0,118744;
9817;0,118774;
9825;0,118779;
9849;0,118591;
9870;0,11844;
9889;0,118313;
9892;0,118378;
9894;0,118456;
9902;0,118461;
9907;0,118502;
9931;0,118316;
9941;0,118298;
9944;0,118363;
9992;0,117894;
10015;0,117723;
10020;0,117764;
10028;0,11777;
10033;0,117811;
10035;0,117887;
10045;0,11787;
10071;0,117665;
10072;0,117752;
10073;0,11784;
10093;0,117705;
10105;0,117665;
10106;0,117752;
10125;0,11763;
10130;0,11767;
10139;0,117664;
10166;0,11745;
10173;0,117468;
10177;0,11752;
10191;0,117457;
10201;0,117439;
10223;0,117285;
10228;0,117325;
10238;0,117308;
10241;0,117371;
10243;0,117446;
10245;0,117521;
10258;0,117469;
10266;0,117475;
10276;0,117458;
10282;0,117487;
10285;0,11755;
10293;0,117556;
10295;0,11763;
10304;0,117624;
10308;0,117676;
10318;0,117658;
10322;0,11771;
10346;0,117533;
10348;0,117607;
10361;0,117556;
10362;0,117641;
10389;0,117432;
10392;0,117494;
10403;0,117466;
10419;0,117382;
10422;0,117444;
10425;0,117506;
10445;0,117377;
10453;0,117383;
10469;0,117299;
10485;0,117215;
10490;0,117255;
10494;0,117305;
10503;0,1173;
10507;0,11735;
10520;0,1173;
10525;0,11734;
10530;0,117379;
10538;0,117385;
10549;0,117357;
10554;0,117396;
10558;0,117446;
10590;0,117186;
10591;0,117269;
10629;0,116944;
10667;0,116621;
10692;0,116442;
10693;0,116525;
10703;0,116509;
10710;0,116527;
10713;0,116587;
10715;0,116659;
10719;0,116709;
10728;0,116704;
10729;0,116786;
10750;0,116651;
10753;0,116712;
10757;0,116761;
10767;0,116746;
10779;0,116708;
10782;0,116769;
10788;0,116796;
10793;0,116835;
10827;0,11656;
10830;0,11662;
10842;0,116584;
10849;0,116601;
10862;0,116553;
10870;0,116559;
10874;0,116608;
10882;0,116615;
10888;0,116642;
10891;0,116702;
10901;0,116687;
10924;0,116532;
10932;0,116539;
10942;0,116523;
10958;0,116445;
10959;0,116525;
10960;0,116606;
10962;0,116676;
10971;0,116671;
10982;0,116645;
10995;0,116598;
11000;0,116636;
11002;0,116706;
11015;0,116659;
11017;0,116729;
11020;0,116788;
11048;0,116582;
11056;0,116588;
11084;0,116384;
11099;0,116317;
11101;0,116386;
11104;0,116445;
11105;0,116524;
11109;0,116572;
11116;0,116589;
11129;0,116542;
11141;0,116507;
11161;0,116387;
11164;0,116446;
11169;0,116483;
11182;0,116437;
11194;0,116402;
11196;0,11647;
11199;0,116528;
11202;0,116586;
11206;0,116634;
11213;0,11665;
11229;0,116573;
11233;0,116621;
11238;0,116658;
11257;0,11655;
11259;0,116618;
11266;0,116634;
11271;0,116671;
11283;0,116636;
11289;0,116662;
11298;0,116658;
11313;0,116592;
11330;0,116505;
11347;0,116418;
11361;0,116363;
11379;0,116267;
11400;0,11614;
11401;0,116218;
11404;0,116275;
11430;0,116098;
11432;0,116165;
11438;0,116192;
11444;0,116218;
11446;0,116285;
11450;0,116332;
11451;0,116409;
11464;0,116364;
11474;0,11635;
11475;0,116427;
11477;0,116494;
11479;0,116561;
11511;0,116324;
11518;0,11634;
11547;0,116134;
11554;0,11615;
11557;0,116207;
11561;0,116253;
11563;0,116319;
11577;0,116265;
11600;0,116121;
11606;0,116147;
11618;0,116113;
11625;0,116129;
11626;0,116205;
11631;0,116241;
11635;0,116287;
11647;0,116253;
11657;0,116239;
11658;0,116315;
11660;0,116381;
11664;0,116427;
11669;0,116462;
11670;0,116538;
11678;0,116544;
11682;0,11659;
11711;0,116386;
11713;0,116452;
11723;0,116438;
11739;0,116364;
11748;0,11636;
11752;0,116406;
11758;0,116431;
11760;0,116497;
11768;0,116502;
11792;0,11635;
11798;0,116376;
11801;0,116431;
11813;0,116397;
11817;0,116442;
11821;0,116488;
11825;0,116533;
11834;0,116529;
11836;0,116593;
11837;0,116668;
11853;0,116595;
11854;0,116669;
11857;0,116724;
11869;0,116691;
11873;0,116735;
11877;0,11678;
11885;0,116786;
11894;0,116782;
11899;0,116817;
11907;0,116822;
11922;0,116759;
11939;0,116676;
11946;0,116692;
11947;0,116766;
11958;0,116742;
11968;0,116728;
11973;0,116763;
11992;0,116661;
11995;0,116715;
11996;0,116789;
11997;0,116863;
11999;0,116926;
12003;0,116971;
12009;0,116996;
12017;0,117001;
12023;0,117026;
12028;0,11706;
12035;0,117075;
12036;0,117149;
12037;0,117222;
12048;0,117198;
12055;0,117213;
12067;0,117179;
12068;0,117252;
12071;0,117306;
12075;0,11735;
12082;0,117365;
12098;0,117292;
12106;0,117297;
12108;0,11736;
12115;0,117375;
12121;0,1174;
12126;0,117434;
12136;0,117419;
12142;0,117444;
12148;0,117468;
12153;0,117502;
12155;0,117565;
12171;0,117492;
12175;0,117536;
12177;0,117599;
12183;0,117623;
12184;0,117695;
12194;0,117681;
12202;0,117686;
12205;0,117739;
12209;0,117782;
12212;0,117835;
12222;0,11782;
12227;0,117854;
12240;0,11781;
12241;0,117883;
12251;0,117868;
12255;0,117911;
12267;0,117877;
12275;0,117882;
12278;0,117935;
12283;0,117968;
12286;0,118021;
12290;0,118063;
12292;0,118126;
12295;0,118178;
12302;0,118192;
12303;0,118264;
12305;0,118326;
12307;0,118388;
12310;0,11844;
12311;0,118512;
12315;0,118555;
12317;0,118617;
12328;0,118592;
12340;0,118558;
12346;0,118581;
12351;0,118614;
12374;0,118474;
12379;0,118507;
12392;0,118464;
12404;0,11843;
12406;0,118491;
12419;0,118448;
12423;0,11849;
12427;0,118532;
12429;0,118594;
12437;0,118598;
12441;0,11864;
12444;0,118692;
12445;0,118763;
12448;0,118814;
12456;0,118818;
12462;0,118841;
12464;0,118902;
12466;0,118964;
12471;0,118996;
12472;0,119067;
12475;0,119118;
12477;0,119179;
12488;0,119154;
12492;0,119196;
12495;0,119248;
12501;0,11927;
12502;0,119341;
12503;0,119411;
12507;0,119453;
12518;0,119428;
12530;0,119393;
12531;0,119464;
12535;0,119505;
12537;0,119566;
12542;0,119598;
12543;0,119668;
12544;0,119739;
12546;0,119799;
12548;0,11986;
12561;0,119815;
12568;0,119828;
12571;0,119879;
12581;0,119863;
12602;0,119743;
12604;0,119803;
12608;0,119845;
12611;0,119895;
12624;0,119851;
12635;0,119826;
12637;0,119886;
12657;0,119776;
12660;0,119826;
12664;0,119867;
12669;0,119899;
12670;0,119968;
